BSG_CS;BS_CSf;pEFLA;TFLA_CS;TFLA_BUS;TFLA_OPT;TFLA_FAR;Pop_CS;Pop_BUS;Pop_OPT;Pop_FAR;OfCal_L_CS;OfCal_L_BUS;OfCal_L_OPT;OfCal_L_FAR;OfCal_C_CS;OfCal_C_BUS;OfCal_C_OPT;OfCal_C_FAR;ECLA_CS;ECLA_BUS;ECLA_OPT;ECLA_FAR;vr1_CS;vr1_BUS;vr1_OPT;vr1_FAR;vr2_CS;vr2_BUS;vr2_OPT;vr2_FAR;vr3_CS;vr3_BUS;vr3_OPT;vr3_FAR
55.6;67;0.3;3900;2965;3900;3900;7.7;10.1;9.7;9.4;1.54;2.48;2.23;1.74;9.03;12.57;11.35;8.55;8.8;8.8;588;3170;;;;;0;0.2;0.5;0.65;0;0;0;0
;7;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.2;0.5;0.65;0;0;0;0
;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.2;0.5;0.65;0;0;1;2.5
;3;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.2;0.5;0.65;0;0;7.5;15
;4;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.2;0.5;0.65;0;0;0.25;0.5
;3;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.2;0.5;0.65;0;0;0;0
;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.53;0.53;0.53;0;0;0;0
;5;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.53;0.53;0.53;0;0;0.5;1
;6;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.53;0.53;0.53;0;0;0.5;1
;3;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.53;0.53;0.53;0;0;7.5;15
